Date,Visitor_ID,IP (a3.dress),Country (geoloc),store:Click Enables (a11) (d261),store:Click Enables (a11) (d261),Revenue,Gneder
2-Mar-13,110011396463111101137735_111141111741149117405097117,521.21.23.2.33.46,us,0,0,14,m
2-Mar-13,110011396463111101137735_111141111741149117405097117,521.12.93.200.221,us,0,0,15,m
2-Mar-13,1100114074114905511611494_3443777111193117097114,521.6.863.66.232,us,0,0,16,m
2-Mar-13,11001145994111159367739_115737437435111111411747473,521.6.863.66.232,us,0,0,17,m
2-Mar-13,11001145994111159367739_115737437435111111411747473,521.0.193.236.893,us,0,0,18,m
2-Mar-13,1100115011675771144711_117747117473697430704745,521.0.193.236.893,ca,0,0,19,m
2-Mar-13,1100115011675771144711_117747117473697430704745,521.1.803.219.823,na,0,0,20,m
2-Mar-13,1100115346117341111307744_11741174350117431111499741137,521.22.83.1.831.836,us,0,0,21,m
2-Mar-13,11001161109743117439595011_743343076604999941144,521.22.83.1.831.836,au,0,0,22,m
2-Mar-13,11001161109743117439595011_743343076604999941144,521.22.83.1.831.836,au,0,0,23,m
2-Mar-13,11001161109743117439595011_743343076604999941144,521.0.363.862.861,na,0,0,24,m
2-Mar-13,1100116737474911796747075_4111147457301109671111311,521.0.363.862.861,fr,0,0,25,m
2-Mar-13,1100116737474911796747075_4111147457301109671111311,521.0.363.862.861,gp,0,0,26,m
2-Mar-13,1100116737474911796747075_4111147457301109671111311,521.0.363.862.861,na,0,0,27,m
2-Mar-13,1100116737474911796747075_4111147457301109671111311,521.18.13.830.823,us,0,0,28,m
2-Mar-13,110011699011990747596113_67474074339567470511999,521.4.233.863.828,us,0,0,29,m
2-Mar-13,1100117511437379596037_113074117656999401130117,521.3.913.226.808,us,0,0,30,m
2-Mar-13,1100117443111111961103741145_11700411743490730501144,521.3.913.226.808,us,0,0,31,m
2-Mar-13,1100117443111111961103741145_11700411743490730501144,521.3.913.226.808,na,0,0,32,m
2-Mar-13,1100117443111111961103741145_11700411743490730501144,521.3.913.226.808,us,0,0,33,m
2-Mar-13,1100117443111111961103741145_11700411743490730501144,521.16.83.1.19.88,us,0,0,34,m
2-Mar-13,110011747351199634311355_7474053574117474430117474,521.88.43.894.822,us,0,0,35,m
2-Mar-13,11001174741166374934649119_6901105117495040474114115,521.88.43.894.822,ae,0,0,36,m
2-Mar-13,11001174741166374934649119_6901105117495040474114115,521.53.83.2.91.898,us,0,0,37,m
2-Mar-13,1100110011754115535117411_7111177411110474991101175,521.53.83.2.91.898,jp,0,0,38,m
2-Mar-13,1100110011754115535117411_7111177411110474991101175,521.53.83.2.91.898,na,0,0,39,m
2-Mar-13,1100110011754115535117411_7111177411110474991101175,521.8.533.846.211,us,0,0,0,m
2-Mar-13,1100110113911611547411116411_611305011301169117576611,521.83.83.884.228,us,0,0,0,m
2-Mar-13,1100110330771111115374011_7447741107474379611117411740,521.16.43.52.40264.253.61.222,us,0,0,0,m
2-Mar-13,1100111159674111146037943_6651111911611706351159674,521.1.813.250.828,us,0,0,0,m
2-Mar-13,1100111176911116117411079115_496401161170574741106117,521.91.33.820.822,us,0,0,0,m
2-Mar-13,110011111111110300441173113_933111111563631137411439,521.16.23.0.824.80,us,0,0,0,m
2-Mar-13,1100111111046379771173511_761111979117351170119376,521.16.23.0.824.80,us,0,0,0,m
2-Mar-13,11001111674411119591173374_11111111374746675111111114749,521.26.23.1.20.89,na,0,0,0,m
2-Mar-13,11001111674411119591173374_11111111374746675111111114749,521.26.23.1.20.89,us,0,0,0,m
2-Mar-13,110011117450677011574711116_4656115035450657077,521.1.863.68.852,us,0,0,0,m
2-Mar-13,110011117450677011574711116_4656115035450657077,521.8.883.815.826,us,0,0,0,m
2-Mar-13,110011117469743634074397411_745911300441169115511653,521.6.403.69.812,us,0,0,0,m
2-Mar-13,1100113070111111741149749114_47091111034050117747050,521.4.583.13.80,us,0,0,0,m
2-Mar-13,1100113711977645741111494_1199000113070747090575,521.3.223.251.252,us,0,0,0,m
2-Mar-13,11001144364119111133745411_9061109376746503744375,521.3.883.9.85,ca,0,0,0,m
2-Mar-13,11001146113079767699911_77445450406116441197479,521.05.33.35.832,us,0,0,0,m
2-Mar-13,1100114611974113400119507_30119499974743491171145,521.91.83.4.816.815,us,0,0,0,m
2-Mar-13,11001154046115967331174_747747711650611579945110,521.91.83.4.816.815,us,0,0,0,m
2-Mar-13,11001154046115967331174_747747711650611579945110,521.5.213.853.12,na,0,0,0,m
2-Mar-13,11001154046115967331174_747747711650611579945110,521.8.3.3.05.868,us,0,0,0,m
2-Mar-13,11001161141159341154754_47411753119661111117477976,521.4.963.234.243,us,0,0,0,m
2-Mar-13,1100116574671151103339411_507667961101111117031133,521.04.83.9.805.218,us,0,0,0,m
2-Mar-13,11001167474113469113114739_1133657411711074633357474,521.04.83.9.805.218,us,0,0,0,m
2-Mar-13,110011697591133707411574_4411117747574535554977411,521.65.83.4.884.812,us,0,0,0,m
2-Mar-13,110011697591133707411574_4411117747574535554977411,521.65.83.4.884.812,us,0,0,0,m
2-Mar-13,1100117011697746653790_75747755631174991111567411,521.8.6.3.81.25,na,0,0,0,m
2-Mar-13,1100117011697746653790_75747755631174991111567411,521.12.93.29.68211.223.25.85216.263.214.230,us,0,0,0,m
2-Mar-13,1100117117475911977743743_55774611631101134645597,521.6.263.214.230,us,0,0,0,m
2-Mar-13,11001174941161161199746500_6457116534111111657117611,521.6.263.214.230,us,0,0,0,m
2-Mar-13,110011904114744011437673_70740569474599611511966,521.6.263.214.230,us,0,0,0,f
2-Mar-13,1100119474007743566110746_505409446363311411096,521.6.263.214.230,us,0,0,0,f
2-Mar-13,1100119474007743566110746_505409446363311411096,521.6.263.214.230,us,0,0,0,f
2-Mar-13,1100119474007743566110746_505409446363311411096,521.6.263.214.230,na,0,0,0,f
2-Mar-13,1100119474007743566110746_505409446363311411096,521.9.303.858.68,us,0,0,0,f
2-Mar-13,1100119474007743566110746_505409446363311411096,521.81.83.1.32.36,na,0,0,0,m
2-Mar-13,1100119474007743566110746_505409446363311411096,521.9.833.221.221,us,0,0,69.98,m
2-Mar-13,1100119474007743566110746_505409446363311411096,521.3.833.839.32,us,0,0,0,m
2-Mar-13,1100304110111173545774119_11946711634117607113744,521.3.833.839.32,us,0,0,0,m
2-Mar-13,1100304549111111371161176_607337507466774114747311,521.3.833.839.32,us,0,0,0,m
2-Mar-13,11003056911956477456745_117747311117504575755711,521.9.893.863.828,us,0,0,0,m
2-Mar-13,11003117446114074944611911_39747111111494117691143749,521.8.823.28.866,us,0,0,0,f
2-Mar-13,11003117446114074944611911_39747111111494117691143749,521.3.233.859.828,na,0,0,0,f
2-Mar-13,11003117446114074944611911_39747111111494117691143749,521.40.83.6.59.221,us,0,0,0,f
2-Mar-13,11003119365747446117411394_511935611744534377474117474,521.40.83.6.59.221,us,0,0,0,f
2-Mar-13,1100311595074664117465311_311711374573411547447750,521.08.23.3.891.41,us,0,0,0,f
2-Mar-13,1100337117474966060111146_11116005611117407460537115,521.08.23.3.891.41,us,0,0,0,f
2-Mar-13,11003397119111111011411563_11004747477463111197110711,521.84.63.240.821,us,0,0,0,f
2-Mar-13,11003397119111111011411563_11004747477463111197110711,521.1.583.41.8,us,0,0,0,f
2-Mar-13,1100351177437974011431111_576749557116665997997,521.1.583.41.8,us,0,0,0,f
2-Mar-13,1100351177437974011431111_576749557116665997997,521.1.583.41.8,us,0,0,0,f
2-Mar-13,11003544411034749975114_5409411006117511754957,521.3.853.218.222,us,0,0,0,f
2-Mar-13,110036469311076405111174_11740665995350116111143,521.8.843.810.52,de,0,0,0,f
2-Mar-13,110036469311076405111174_11740665995350116111143,521.9.193.815.811,na,0,0,0,f
2-Mar-13,110036469311076405111174_11740665995350116111143,521.9.193.815.811,us,0,0,0,f
2-Mar-13,1100366963474956470011_744111155631130741161174745,521.13.23.8.891.49,us,0,0,0,f
2-Mar-13,11003695674774756119749_374744113111111574600357110,521.1.233.831.12,us,0,0,0,f
2-Mar-13,110037116114511775460711_117407411377405544111111494,521.03.53.816.826,us,0,0,0,f
2-Mar-13,110037116114511775460711_117407411377405544111111494,521.06.23.1.83.49,us,0,0,0,f
2-Mar-13,110037465374111161150741103_4547511470760774377403,521.06.23.1.83.49,us,0,0,0,f
2-Mar-13,1100397411050747409759747_110791111740113745355011119,521.06.23.1.83.49,us,0,0,0,f
2-Mar-13,1100404411116711560711911_6601151140311941166743116,521.0.983.238.216,us,0,0,0,f
2-Mar-13,110040451105371111674741111_3011740500011550117461167,521.0.983.238.216,na,0,0,0,f
2-Mar-13,110040451105371111674741111_3011740500011550117461167,521.9.3.3.2.16,us,0,0,0,f
2-Mar-13,110040451105371111674741111_3011740500011550117461167,521.9.803.58.80299.803.58.80231.513.833.80,us,0,0,0,f
2-Mar-13,11004110733741160366775_4740611119305455077336,521.1.513.833.80,us,0,0,0,f
2-Mar-13,11004110733741160366775_4740611119305455077336,521.1.883.249.62,us,0,0,0,f
2-Mar-13,11004115376043411706911_11531111411776373940033,521.1.883.249.62,us,0,0,0,f
2-Mar-13,11004116115511366747459114_6744411700011774064474374,521.91.33.226.224,us,0,0,0,f
2-Mar-13,11004116115511366747459114_6744411700011774064474374,521.91.33.226.224,us,0,0,0,f
2-Mar-13,1100411711745611409111191111_7451176991111311745664674,521.25.83.99.242,na,0,0,0,f
2-Mar-13,1100411711745611409111191111_7451176991111311745664674,521.05.83.2.39.805,us,0,0,0,f
2-Mar-13,110041136794774445747411_113115437466011574747119113,521.05.83.2.39.805,na,0,0,0,f
2-Mar-13,110041136794774445747411_113115437466011574747119113,521.05.83.2.39.805,us,0,0,0,f
2-Mar-13,1100411504743665430111111_74465997495006740671104,521.3.253.210.12108.13.35.202,us,0,0,0,f
2-Mar-13,1100411504743665430111111_74465997495006740671104,521.1.803.853.52,us,0,0,0,f
2-Mar-13,110041177115011117411674747_501137691167411774760117474,521.1.803.853.52,us,0,0,0,f
2-Mar-13,110041174997435113911391111_37435411574113711793696,521.83.83.886.228,us,0,0,0,f
2-Mar-13,110041174997435113911391111_37435411574113711793696,521.86.83.1.891.225,na,0,0,0,f
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2-Mar-13,110064110560004535110_767411011747451131166391173,159.118.117.46,us,0,0,0,
2-Mar-13,1100646411311115737795_74749411437365471174344,216.150.191.2,us,0,0,0,
2-Mar-13,1100650051111311411411974_4606331109355111176037,71.92.116.234,us,0,0,0,
2-Mar-13,1100650051111311411411974_4606331109355111176037,71.92.116.234,na,0,0,0,
2-Mar-13,1100650051111311411411974_4606331109355111176037,71.92.116.234,us,0,0,0,
2-Mar-13,1100650311114954474374114_461146745745511511503606,188.50.18.9,us,0,0,0,
2-Mar-13,110065115117466511740674747_679659474563711119011411,75.87.112.184,us,0,0,0,
2-Mar-13,110065115117466511740674747_679659474563711119011411,75.87.112.184,us,0,0,0,
2-Mar-13,110066007574116447407574_50991147401197499374511113,75.78.166.8,us,0,0,0,
2-Mar-13,1100661111003117490477_9113611536556503011470,67.190.49.253,us,0,0,0,
2-Mar-13,110066611110056116113596_4977451111774555477111169,181.231.112.246,us,0,0,0,
2-Mar-13,110066637743114747674655_111155690411745117697730,86.137.219.157,gb,0,0,0,
